Fecha,Título,Etiquetas,Enlace
2019-03-01,TRANSPARENCIA Y GESTIÓN DE LA INFORMACIÓN EN EL ESTADO: UNA PROPUESTA TRANSVERSAL,"Estado, transparencia",https://lyd.org/wp-content/uploads/2019/03/tp-1387-modernizacion-estado-.pdf
2019-03-01,ÍNDICE DE LIBERTAD ECONÓMICA 2019: LA IMPORTANCIA DE LA LIBERTAD PARA EL CRECIMIENTO DE LOS PAÍSES,"Índice de Libertad Económica, Libertad Económica, Modernización tributaria, Reforma Tributaria, Estado, transparencia, Admisión Justa, Educación Escolar, Isapres, Reforma a las Isapres, Salud, Empleo, mercado laboral, Empleo Público, Modernización del Estado, Ley Corta de Pesca, CASEN 2017, inmigración, Bienestar, Modernización tributaria, Pymes, Reforma Tributaria, Indígena",https://lyd.org/wp-content/uploads/2019/03/tp-1388-indice-libertad-economica-heritage.pdf
2019-03-01,OBJECIÓN DE CONCIENCIA INSTITUCIONAL: LÍMITES AL ESTADO FRENTE A LA SOCIEDAD CIVIL,objección de conciencia,https://lyd.org/wp-content/uploads/2019/03/tp-1388-objecion-de-conciencia-institucional.pdf
2019-03-01,CAMBIOS AL SISTEMA DE ADMISIÓN ESCOLAR: ¿POR QUÉ SON NECESARIOS?,Admisión,https://lyd.org/wp-content/uploads/2019/03/tp-1389-cifras-para-debate-admision-justa-.pdf
2019-03-01,OPORTUNIDADES PARA MUJERES Y HOMBRES: IGUALDAD PARA PODER ELEGIR,"Libertad, Mujer, Trabajo",https://lyd.org/wp-content/uploads/2019/03/tp-1389-mujeres.pdf
2019-03-01,CÓMO EL SOCIALISMO DEL SIGLO XXI TRAJO LA MISERIA A VENEZUELA,"Socialismo, Venezuela",https://lyd.org/wp-content/uploads/2019/03/tp-1390-socialismo-en-venezuela.pdf
2019-03-01,CRECIMIENTO ECONÓMICO: LA INVERSIÓN ESTÁ DE VUELTA,"Crecimiento, Inversión",https://lyd.org/wp-content/uploads/2019/03/tp-1391-crecimiento.pdf
2019-03-01,MEDIDORES INTELIGENTES: “EL CONSUMIDOR PAGA TODO”,Medidores,https://lyd.org/wp-content/uploads/2019/03/tp-1391-medidores.pdf
2019-04-01,REINO UNIDO FRENTE A LAS COMPLEJIDADES DEL BREXIT,Brexit,https://lyd.org/wp-content/uploads/2019/04/tp-1392-brexit.pdf
2019-04-01,DESEMPLEO EN PUNTO DE QUIEBRE,Desempleo,https://lyd.org/wp-content/uploads/2019/04/tp-1392-empleo-.pdf
2019-04-01,REFORMA AL SENCE: OPORTUNA Y NECESARIA,SENCE,https://lyd.org/wp-content/uploads/2019/04/tp-1393-sence.pdf
2019-04-01,"SUBVENCIÓN PARA LA EDUCACIÓN PARVULARIA: UN BUEN PROYECTO, CON ESPACIOS DE MEJORA","Educación Parvularia, Subvención parvularia",https://lyd.org/wp-content/uploads/2019/04/tp-1393-subvencion-parvularia-.pdf
2019-04-01,PROYECTO SOBRE PLATAFORMAS TECNOLÓGICAS DE TRANSPORTE: REGULACIÓN EXCESIVA,"Regulación, Transporte, Educación Parvularia, Subvención parvularia, SENCE, Brexit, Desempleo, Crecimiento, Inversión, Medidores, educación superior, Socialismo, Venezuela, Libertad, Mujer, Trabajo, Admisión, objección de conciencia",https://lyd.org/wp-content/uploads/2019/04/tp-1394-plataformas-transporte.pdf
2019-04-01,EL EFECTO DEL GASTO PÚBLICO EN LA REDUCCIÓN DE LA DESIGUALDAD,"Desigualdad, Economía, gasto público, Pobreza",https://lyd.org/wp-content/uploads/2019/04/tp-1395-transferencias-no-monetarias.pdf
2019-05-01,PRIMEROS AVANCES DE COMPROMISO PAÍS,Compromiso País,https://lyd.org/wp-content/uploads/2019/05/tp-1394-avances-compromiso-pais.pdf
2019-05-01,SUBSIDIO DE ARRIENDO: EVALUACIÓN A CINCO AÑOS DE SU CREACIÓN,"Economía, Subsidio",https://lyd.org/wp-content/uploads/2019/05/tp-1395-subsidio-de-arriendo.pdf
2019-05-01,LA PROGRESIVIDAD DE LOS IMPUESTOS,"Economía, Impuestos",https://lyd.org/wp-content/uploads/2019/05/tp-1396-impuestos.pdf
2019-05-01,INVERSIÓN EN I+D EN CHILE: EN QUÉ ESTAMOS Y CÓMO POTENCIARLA,"Innovación, Politica",https://lyd.org/wp-content/uploads/2019/05/tp-1396-innovacion.pdf
2019-05-01,CIDH: POR QUÉ LA CORTE SUPREMA NO DEBIÓ DEJAR SIN EFECTO LAS SENTENCIAS CONDENATORIAS,CIDH,https://lyd.org/wp-content/uploads/2019/05/tp-1397-cidh-cs.pdf
2019-05-01,REFORMA A LAS ISAPRES: CAMBIO PROFUNDO Y EN LA DIRECCIÓN CORRECTA,"Isapres, Salud, Salud Privada",https://lyd.org/wp-content/uploads/2019/05/tp-1398-isapres.pdf
2019-05-01,MODERNIZACIÓN LABORAL: TODOS PUEDEN GANAR,"Laboral, Modernización laboral",https://lyd.org/wp-content/uploads/2019/05/tp-1398-modernizacion-laboral.pdf
2019-05-01,HACIA UNA DEFINICIÓN DE CLASE MEDIA EN CHILE,"Clase Media, Politica",https://lyd.org/wp-content/uploads/2019/05/tp-1399-clase-media-1.pdf
2019-05-01,RESULTADOS DE LA ENUSC 2018: AVANCES EN EL CAMINO CONTRA LA DELINCUENCIA,"Justicia, Seguridad Ciudadana",https://lyd.org/wp-content/uploads/2019/05/tp-1399-enusc.pdf
2019-06-01,GASTO PÚBLICO EN EDUCACIÓN SUPERIOR: SIN MARGEN PARA SEGUIR INCREMENTÁNDOLO,educación superior,https://lyd.org/wp-content/uploads/2019/06/tp-1390-financiamiento-publico-es-y-gratuidad.pdf
2019-06-01,FACILIDAD PARA HACER NEGOCIOS: CÓMO SE PUEDE AVANZAR,"Doing business, Economía",https://lyd.org/wp-content/uploads/2019/06/tp-1400-doing-business.pdf
2019-06-01,MODERNIZACIÓN TRIBUTARIA: ANÁLISIS AL PRIMER CONJUNTO DE INDICACIONES INGRESADAS POR EL EJECUTIVO,"Economía, Reforma Tributaria",https://lyd.org/wp-content/uploads/2019/06/tp-1401-indicaciones-ct.pdf
2019-06-01,CAMBIOS A LA REGULACIÓN DE LA DISTRIBUCIÓN ELÉCTRICA: MÁS PROFUNDIDAD EN EL ANÁLISIS,"energía eléctrica, Medio Ambiente",https://lyd.org/wp-content/uploads/2019/06/tp-1401-rebaja-rentabilidad-distribuidoras.pdf
2019-06-01,IDENTIDAD Y OPINIÓN DE LOS MAPUCHE EN LA ARAUCANÍA,"Encuesta Mapuche, Politica",https://lyd.org/wp-content/uploads/2019/06/tp-1402-encuesta-mapuche-2018.pdf
2019-06-01,EXPECTATIVAS ECONÓMICAS: TRES ESCENARIOS PARA TOMAR EN CUENTA,Economía,https://lyd.org/wp-content/uploads/2019/06/tp-1402-expectativas-economicas.pdf
2019-06-01,REFORMA AL CÓDIGO DE AGUAS: LA IMPORTANCIA DE LA CERTEZA JURÍDICA,"Código de Aguas, Medio Ambiente",https://lyd.org/wp-content/uploads/2019/06/tp-1403-certeza-juridica-derechos-agua.pdf
2019-06-01,ANUNCIOS EN EDUCACIÓN: VOLVIENDO EL FOCO A LOS MÁS VULNERABLES,"Educación, sistema escolar",https://lyd.org/wp-content/uploads/2019/06/tp-1403-educacion.pdf
2019-06-01,CONSULTA Y CAMBIOS A LA LEY INDÍGENA,"Ley Indígena, Politica",https://lyd.org/wp-content/uploads/2019/06/tp-1404-tierras.pdf
2019-07-01,PROYECTO DE LEY FÁRMACOS II: ¿QUÉ ESTÁ EN JUEGO?,"Fármacos, Salud",https://lyd.org/wp-content/uploads/2019/07/tp-1397-farmacos-ii-.pdf
2019-07-01,PATENTES POR NO USO DE DERECHOS DE AGUA: ALZA DESMESURADA,"Código de Aguas, Medio Ambiente, Justicia, Seguridad Ciudadana, Clase Media, Politica, Isapres, Salud, Salud Privada, Laboral, Modernización laboral, CIDH, Fármacos, Salud, Innovación, Politica, Economía, Impuestos, Economía, Subsidio, Desigualdad, Economía, gasto público, Pobreza, Compromiso País",https://lyd.org/wp-content/uploads/2019/07/tp-1400-aguas.pdf
2019-07-01,CAMBIOS AL SISTEMA DE ADMISIÓN: BUENAS RAZONES PARA CONFIAR EN LAS ESCUELAS,"Admisión Justa, Educación",https://lyd.org/wp-content/uploads/2019/07/tp-1404-admision-justa.pdf
2019-07-01,ÍNDICE INTERNACIONAL DE DERECHOS DE PROPIEDAD Y EL DESARROLLO DE LAS NACIONES,"Derechos de propiedad, Politica",https://lyd.org/wp-content/uploads/2019/07/tp-1405-international-property-rights-index.pdf
2019-07-01,PROPUESTA DE CUOTAS DE GÉNERO EN ELECCIONES MUNICIPALES: SE ROMPE LA IGUALDAD ANTE LA LEY,"Ley de cuotas de género, Politica, Clase Media, Derechos de propiedad, Politica, Ley Indígena, Politica, Admisión Justa, Educación, Educación, sistema escolar, Código de Aguas, Medio Ambiente, Encuesta Mapuche, Politica, Economía, energía eléctrica, Medio Ambiente, Economía, Reforma Tributaria, Doing business, Economía",https://lyd.org/wp-content/uploads/2019/07/tp-1406-ley-de-cuotas-.pdf
2019-07-01,REFORMA AL SISTEMA DE PENSIONES: LA ADMINISTRACIÓN DEL 4% ADICIONAL,"Pensiones, Previsión",https://lyd.org/wp-content/uploads/2019/07/tp-1406-pensiones-y-el-4-.pdf
2019-07-01,"A PESAR DE NUEVO ESCENARIO ECONÓMICO, SE MANTIENE META FISCAL ESTRUCTURAL","Economía, Ley de presupuestos",https://lyd.org/wp-content/uploads/2019/07/tp-1407-fiscal.pdf
2019-07-01,LEY CORTA EN DESCENTRALIZACIÓN: MODIFICACIONES NECESARIAS ANTES DE LA ELECCIÓN DE GOBERNADORES,"elecciones gobernadores, Politica",https://lyd.org/wp-content/uploads/2019/07/tp-1407-ley-corta-regiones.pdf
2019-07-01,PROYECTO DE LEY DE GLACIARES: ¿PROTECCIÓN O  CONSERVACIONISMO ABSOLUTO?,"glaciares, Medio Ambiente",https://lyd.org/wp-content/uploads/2019/07/tp-1408-glaciares.pdf
2019-07-01,INTERCONEXIÓN DE BOLSAS DE VALORES:  PROMOVIENDO UNA MAYOR COMPETENCIA,"bolsas de valores, Economía",https://lyd.org/wp-content/uploads/2019/07/tp-1408-interconexion-de-bolsas.pdf
2019-07-01,LOS CAMBIOS APROBADOS AL CÓDIGO TRIBUTARIO TRAS SU PASO POR LA COMISIÓN DE HACIENDA,"Economía, Reforma Tributaria",https://lyd.org/wp-content/uploads/2019/07/tp-1409-tributario.pdf
2019-08-01,LA NECESIDAD DE IMPLEMENTAR MEJORAS EN EL PROCESO DE EVALUACIÓN DE PROGRAMAS GUBERNAMENTALES,"Economía, programas gubernamentales",https://lyd.org/wp-content/uploads/2019/08/tp-1409-evaluacion-de-programas.pdf
2019-08-01,UNA MIRADA INTEGRAL AL SECTOR SANITARIO,"Medio Ambiente, sanitarias",https://lyd.org/wp-content/uploads/2019/08/tp-1410-evaluacion-de-sanitarias-.pdf
2019-08-01,REFORMA DE PENSIONES: CAMBIOS EN LA FISONOMÍA DEL SISTEMA,"Pensiones, Previsión",https://lyd.org/wp-content/uploads/2019/08/tp-1410-indicaciones-reforma-previsional.pdf
2019-08-01,DELITOS AMBIENTALES:  UNA INICIATIVA PREOCUPANTE,"delitos ambientales, Medio Ambiente",https://lyd.org/wp-content/uploads/2019/08/tp-1411-delitos-ambientales.pdf
2019-08-01,JORNADA LABORAL: “TRABAJAR COMO FRANCESES Y CRECER COMO ASIÁTICOS”,"Jornada Laboral, Laboral",https://lyd.org/wp-content/uploads/2019/08/tp-1411-laboral-40-horas.pdf
2019-08-01,¿EN QUÉ ESTÁ LA NUEVA EDUCACIÓN PÚBLICA?,"Educación, Educación Pública",https://lyd.org/wp-content/uploads/2019/08/tp-1412-educacion-publica.pdf
2019-08-01,NUEVAS REGULACIONES: LA NECESIDAD DE EVALUAR SU IMPACTO EN LA INVERSIÓN,"Inversión, Medio Ambiente, Jornada Laboral, Laboral, delitos ambientales, Medio Ambiente, Medio Ambiente, sanitarias, Pensiones, Previsión, Economía, programas gubernamentales, Economía, Reforma Tributaria, glaciares, Medio Ambiente, bolsas de valores, Economía, elecciones gobernadores, Politica, Economía, Ley de presupuestos, Pensiones, Previsión",https://lyd.org/wp-content/uploads/2019/08/tp-1412-inversion.pdf
2019-08-01,CRECIMIENTO ECONÓMICO: PENSANDO EN EL LARGO PLAZO,"Crecimiento Económico, Economía",https://lyd.org/wp-content/uploads/2019/08/tp-1414-crecimiento.pdf
2019-08-01,MODERNIZACIÓN TRIBUTARIA: PRIMERA VALLA SORTEADA ¿PRUEBA SUPERADA?,"Economía, Reforma Tributaria",https://lyd.org/wp-content/uploads/2019/08/tp-1414-tributario.pdf
2019-08-01,IMPUESTOS VERDES: DEBEN SER ACORDES A NUESTRA REALIDAD,"Economía, impuestos verdes",https://lyd.org/wp-content/uploads/2019/08/tp1413-impuestos-verdes.pdf
2019-09-01,AUMENTO DEL DÉFICIT HABITACIONAL:  NUEVOS DESAFÍOS DE POLÍTICA PÚBLICA,Déficit habitacional,https://lyd.org/wp-content/uploads/2019/09/tp-1413-deficit-habitacional.pdf
2019-09-01,EVALUACIÓN DE PROGRAMAS GUBERNAMENTALES: ANÁLISIS 2011-2019,"Economía, Evaluación de Programas",https://lyd.org/wp-content/uploads/2019/09/tp-1415-evaluacion-de-programas-2011-2019.pdf
2019-09-01,JUDICIALIZACIÓN DE PROYECTOS DE INVERSIÓN Y REFORMA AL SEIA,"SEIA, Tribunales Ambientales",https://lyd.org/wp-content/uploads/2019/09/tp-1415-judicializacion-proyectos.pdf
2019-09-01,ÍNDICE DE LIBERTAD ECONÓMICA FRASER INSTITUTE: CHILE AVANZA DOS LUGARES,"Economía, Fraser Institute",https://lyd.org/wp-content/uploads/2019/09/tp-1416-efw-2019.pdf
2019-09-01,"A PESAR DEL NUEVO ESCENARIO ECONÓMICO, SE DEBE MANTENER META FISCAL ESTRUCTURAL","Economía, Presupuesto",https://lyd.org/wp-content/uploads/2019/09/tp-1416-escenario-fiscal.pdf
2019-09-01,ENCUESTA CORRUPCIÓN 2019: PERCEPCIÓN SE MANTIENE EN NIVELES HISTÓRICAMENTE ALTOS,"CORRUPCIÓN, Politica",https://lyd.org/wp-content/uploads/2019/09/tp-1417-corrupcion.pdf
2019-09-01,CIERRE POR MAL DESEMPEÑO REITERADO: RADIOGRAFÍA DE LAS 218 ESCUELAS EN RIESGO,"Educación, escuelas",https://lyd.org/wp-content/uploads/2019/09/tp-1417-radiografia-escuelas.pdf
2019-10-01,RIESGOS PARA LA CLASE MEDIA: QUÉ DICEN LOS INDICADORES DE POBREZA MULTIDIMENSIONAL,Clase Media,https://lyd.org/wp-content/uploads/2019/10/tp-1405-los-riesgos-para-la-clase-media.pdf
2019-10-01,RESTRICCIÓN DE PUBLICACIÓN Y DIFUSIÓN DE SIMCE: CUATRO PUNTOS A CONSIDERAR,"Educación, SIMCE, Educación, escuelas, CORRUPCIÓN, Politica, Economía, Fraser Institute, Economía, Presupuesto, Economía, Evaluación de Programas, SEIA, Tribunales Ambientales, Crecimiento Económico, Economía, Economía, Reforma Tributaria, Economía, impuestos verdes, Déficit habitacional, Educación, Educación Pública",https://lyd.org/wp-content/uploads/2019/10/tp-1418-restricciones-simce.pdf
2019-10-01,SUBSIDIOS Y DÉFICIT HABITACIONAL: ¿SE LOGRA EL OBJETIVO?,Déficit habitacional,https://lyd.org/wp-content/uploads/2019/10/tp-1419-acusacion-constitucional-cubillos-1.pdf
2019-10-01,ACUSACIÓN CONSTITUCIONAL: ¿JUICIO PARA PERSEGUIR RESPONSABILIDADES POLÍTICAS O JURÍDICAS?,"Acusación Constitucional, Politica",https://lyd.org/wp-content/uploads/2019/10/tp-1419-acusacion-constitucional-cubillos.pdf
2019-10-01,ADECUADA POLÍTICA FISCAL AUSTERA PARA 2020,"Economía, Presupuesto",https://lyd.org/wp-content/uploads/2019/10/tp-1419-fiscal-lp2020.pdf
2019-10-01,AGENDA DE REIMPULSO ECONÓMICO: LAS 40 MEDIDAS,"Agenda de reimpulso económico, Economía",https://lyd.org/wp-content/uploads/2019/10/tp-1420-40-medidas-minecon.pdf
2019-10-01,DERECHO DE PROPIEDAD Y FONDOS DE PENSIONES: UNA DISCUSIÓN ARTIFICIAL Y CONTRAPRODUCENTE,"Economía, Pensiones",https://lyd.org/wp-content/uploads/2019/10/tp-1420-pensiones.pdf
2019-10-01,LA REVUELTA DE CHILE,"Politica, Revuelta de Chile",https://lyd.org/wp-content/uploads/2019/10/tp-1422-la-revuelta-de-chile.pdf
2019-10-01,PRESUPUESTO 2020 PARA EDUCACIÓN: CONTINUIDAD E INERCIA EN EL GASTO,Educación,https://lyd.org/wp-content/uploads/2019/10/tp-1422-presupuesto-educacion-2020.pdf
2019-10-01,RANKING DOING BUSINESS:  CHILE RETROCEDE TRES LUGARES,"Doing business, Economía",https://lyd.org/wp-content/uploads/2019/10/tp-1423-db-2020.pdf
2019-10-01,AGENDA SOCIAL DEL GOBIERNO:  PROPUESTAS CONCRETAS PARA EL DEBATE,"Politica, Revuelta de Chile",https://lyd.org/wp-content/uploads/2019/10/tp-1423-fiscal-medidas.pdf
2019-11-01,PROTECCIÓN DE GLACIARES: HACIA DÓNDE HA EVOLUCIONADO LA DISCUSIÓN,glaciares,https://lyd.org/wp-content/uploads/2019/11/tp-1421-glaciares-2.pdf
2019-11-01,FALLO DE LA CORTE SUPREMA:  ¿RESPETO A LA INSTITUCIONALIDAD?,Corte Suprema,https://lyd.org/wp-content/uploads/2019/11/tp-1421-pugna-tc-cs.pdf
2019-11-01,CONSTITUCIÓN POLÍTICA DE LA REPÚBLICA: REFLEXIONES PARA EL DEBATE,"Constitución, Politica",https://lyd.org/wp-content/uploads/2019/11/tp-1424-debate-constitucional-.pdf
2019-11-01,FINANCIAMIENTO MUNICIPAL: ¿CÓMO AVANZAMOS HACIA UNA MAYOR EQUIDAD?,"financiamiento municipal, Politica, Revuelta de Chile, Doing business, Economía, Educación, Politica, Revuelta de Chile, Corte Suprema, glaciares, Agenda de reimpulso económico, Economía, Economía, Pensiones, Acusación Constitucional, Politica, Economía, Presupuesto, Déficit habitacional",https://lyd.org/wp-content/uploads/2019/11/tp-1424-financiamiento-municipal.pdf
2019-11-01,VIOLENCIA Y DESTRUCCIÓN: SUS EFECTOS EN LA ECONOMÍA,"Crisis, Economía, Violencia",https://lyd.org/wp-content/uploads/2019/11/tp-1425-impacto-economico-crisis.pdf
2019-11-01,IMPUESTOS EN CHILE: ESTADO DEL ARTE,Tributario,https://lyd.org/wp-content/uploads/2019/11/tp-1425-tax-foundation-2019.pdf
2019-11-01,ACUERDO POR LA PAZ SOCIAL Y CONSTITUCIÓN: LA IMPORTANCIA DE LA BUENA FE,"acuerdo por la paz, Constitución",https://lyd.org/wp-content/uploads/2019/11/tp-1426-acuerdo-por-la-paz-y-constitucion-.pdf
2019-11-01,INGRESO MÍNIMO GARANTIZADO: UN PASO EN LA DIRECCIÓN CORRECTA,"Economía, ingreso mínimo",https://lyd.org/wp-content/uploads/2019/11/tp-1426-ingreso-minimo-garantizado.pdf
2019-11-01,AGENDA DE ORDEN PÚBLICO: RECUPERAR EL ESTADO DE DERECHO,Órden Público,https://lyd.org/wp-content/uploads/2019/11/tp-agenda-de-orden-publico.pdf
2019-12-01,PRECIO DE MEDICAMENTOS: LA IMPORTANCIA DE AVANZAR EN BIOEQUIVALENCIA,medicamentos,https://lyd.org/wp-content/uploads/2019/12/tp-1428-fne-farmacos.pdf
2019-12-01,"REAJUSTE DEL SECTOR PÚBLICO, IRREALISTAS PRETENSIONES DE LA MESA NEGOCIADORA",Reajuste sector público,https://lyd.org/wp-content/uploads/2019/12/tp-1428-reajuste-sector-publico-2019.pdf
2019-12-01,SUSTANCIAL AJUSTE A LAS PROYECCIONES ECONÓMICAS,Crisis Económica,https://lyd.org/wp-content/uploads/2019/12/tp-1429-crisis-economica.pdf
2019-12-01,REDUCCIÓN DE REMUNERACIONES DE AUTORIDADES PÚBLICAS: CUIDADO CON SUS EFECTOS,"Economía, Remuneraciones",https://lyd.org/wp-content/uploads/2019/12/tp-1429-rebaja-sueldos.pdf
2019-12-01,ÍNDICE DE DESARROLLO HUMANO DEL PNUD: AVANCES Y DESAFÍOS PARA CHILE,Índice De Desarrollo Humano,https://lyd.org/wp-content/uploads/2019/12/tp-1430-indice-de-desarrollo-humano-2019-1.pdf
2019-12-01,REFORMA A LA CONSTITUCIÓN: PROPUESTA DE LA COMISIÓN TÉCNICA Y DISCUSIÓN EN EL CONGRESO NACIONAL,"Constitución, Economía, Remuneraciones, Crisis Económica, medicamentos, Reajuste sector público, Órden Público, Educación, acuerdo por la paz, Constitución, Economía, ingreso mínimo, Tributario, Crisis, Economía, Violencia, Constitución, Politica",https://lyd.org/wp-content/uploads/2019/12/tp-1430-propuesta-comision-tecnica-y-tramite.pdf
2019-12-01,LA CONTRIBUCIÓN DEL GASTO PÚBLICO A LA REDUCCIÓN DE LA DESIGUALDAD,Desigualdad,https://lyd.org/wp-content/uploads/2019/12/tp-1431-estado-y-desigualdad.pdf
2020-01-01,"TODOS AL AULA: LUEGO DE 1 AÑO, 63% DE LAS RECOMENDACIONES MUESTRAN ALGÚN AVANCE",Educación,https://lyd.org/wp-content/uploads/2020/01/tp-1427-todos-al-aula.pdf
2020-01-01,¿FINANZAS PÚBLICAS RESPONSABLES?,Economía,https://lyd.org/wp-content/uploads/2020/01/tp-1431-sostenibilidad-fiscal.pdf
2020-01-01,CUESTIONABLE DESEMPEÑO DE LA CONADI EN LOS ÚLTIMOS AÑOS,CONADI,https://lyd.org/wp-content/uploads/2020/01/tp-1432-conadi.pdf
2020-01-01,HISTORIA DEL SUBSIDIO A TRANSANTIAGO: CUBRIENDO LOS DÉFICITS DE UN MAL DISEÑO,Transantiago,https://lyd.org/wp-content/uploads/2020/01/tp-1432-subsidio-transantiago.pdf
2020-01-01,MODERNIZACIÓN TRIBUTARIA: GIRO HACIA UN ENFOQUE RECAUDATORIO,Reforma Tributaria,https://lyd.org/wp-content/uploads/2020/01/tp-1433-acuerdo-tributario.pdf
2020-01-01,ESCAÑOS RESERVADOS PARA PUEBLOS INDÍGENAS,"escaños reservados, indígenas, plebiscito",https://lyd.org/wp-content/uploads/2020/01/tp-1433-escanos-reservados-indigenas.pdf
2020-01-01,CLASIFICACIÓN DE ESCUELAS 2019: AVANCES Y DESAFÍOS PARA LA EDUCACIÓN PÚBLICA,"Agencia de Calidad de Educación, Educación Escolar",https://lyd.org/wp-content/uploads/2020/01/tp-1434-clasificacion-escuelas.pdf
2020-01-01,REFORMA A FONASA: HACIA UN SEGURO DE SALUD CON FOCO EN LAS PERSONAS,"Fonasa, Salud",https://lyd.org/wp-content/uploads/2020/01/tp-1434-fonasa.pdf
2020-01-01,REBAJA DE LA JORNADA LABORAL: EL MOMENTO DE LA REFLEXIÓN,"Desempleo, Trabajo",https://lyd.org/wp-content/uploads/2020/01/tp-1435-40-horas.pdf
2020-01-01,INICIATIVA EXCLUSIVA DEL PRESIDENTE DE LA REPÚBLICA: ORÍGENES E IMPORTANCIA,"Leyes, Nueva Constitución",https://lyd.org/wp-content/uploads/2020/01/tp-1435-iniciativa-exclusiva-presidencial-1.pdf
2020-01-01,REFORMA DE PENSIONES: GIRO RADICAL EN UNA REFORMA QUE PERDIÓ EL RUMBO,"Pensiones, Reforma a las pensiones, Desempleo, Trabajo, Leyes, Nueva Constitución, Agencia de Calidad de Educación, Educación Escolar, Fonasa, Salud, escaños reservados, indígenas, plebiscito, Reforma Tributaria, Transantiago, CONADI, Economía, Desigualdad, Índice De Desarrollo Humano",https://lyd.org/wp-content/uploads/2020/01/tp-1436-cambios-en-la-reforma-de-pensiones.pdf
2020-01-01,DESEMPLEO: FUERTE AUMENTO DEL EMPLEO POR CUENTA PROPIA,"Desempleo, Laboral",https://lyd.org/wp-content/uploads/2020/01/tp-1436-empleo.pdf
2020-03-01,FUNDAMENTO DE LA AUTONOMÍA DEL BANCO CENTRAL,"Banco Central, Economía",https://lyd.org/wp-content/uploads/2020/03/tp-1437-banco-central.pdf
2020-03-01,PARIDAD DE GÉNERO,Paridad de Género,https://lyd.org/wp-content/uploads/2020/03/tp-1437-paridad-de-genero.pdf
2020-03-01,CORONAVIRUS Y SUS CONSECUENCIAS ECONÓMICAS,"Coronavirus, Covid-19",https://lyd.org/wp-content/uploads/2020/03/tp-1438-economia-y-covid.pdf
2020-03-01,MUJERES EN CHILE Y EL MUNDO,"Mujer, Paridad de Género",https://lyd.org/wp-content/uploads/2020/03/tp-1438-mujer.pdf
2020-03-01,"ÍNDICE DE LIBERTAD ECONÓMICA 2020: TÍMIDOS AVANCES, PERO EN ALERTA",Libertad Económica,https://lyd.org/wp-content/uploads/2020/03/tp-1439-indice-libertad-economica-heritage.pdf
2020-03-01,SUFRAGIO ¿VOLUNTARIO U OBLIGATORIO?,"Elecciones, Politica, Voto",https://lyd.org/wp-content/uploads/2020/03/tp-1439-voto-vol-1.pdf
2020-03-01,DECLARACIÓN DE ESTADO DE CATÁSTROFE A RAÍZ DEL COVID-19 ¿QUÉ IMPLICA?,"Coronavirus, estado de catástrofe",https://lyd.org/wp-content/uploads/2020/03/tp-1440-estado-de-catastrofe.pdf
2020-03-01,MEDIDAS ECONÓMICAS Y SOCIALES ANTE CRISIS POR CORONAVIRUS,"Coronavirus, Economía",https://lyd.org/wp-content/uploads/2020/03/tp-1440-plan-economico-.pdf
