Fecha,Título,Autor,Medio de comunicación,Enlace
22 agosto 2024,Bendita inocencia,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/08/bendita-inocencia/
19 agosto 2024,Préstamo al Gobierno,Tomás Flores,El Mercurio,https://lyd.org/opinion/2024/08/prestamo-al-gobierno/
19 agosto 2024,La generación ansiosa de Jonathan Haidt: El rol de los smartphones y las redes sociales en la adolescencia,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/08/la-generacion-ansiosa-de-jonathan-haidt-el-rol-de-los-smartphones-y-las-redes-sociales-en-la-adolescencia/
19 agosto 2024,"No tengo pruebas, pero tampoco dudas",Macarena García,La Tercera,https://lyd.org/opinion/2024/08/no-tengo-pruebas-pero-tampoco-dudas/
17 agosto 2024,"Isabel Amor, eres más fuerte",Luis Larraín,La Tercera,https://lyd.org/opinion/2024/08/isabel-amor-eres-mas-fuerte/
15 agosto 2024,Lo que viene en pensiones,Pablo Eguiguren,El Mercurio,https://lyd.org/opinion/2024/08/lo-que-viene-en-pensiones/
14 agosto 2024,Expropiaciones y justo precio,María Trinidad Schleyer,La Tercera,https://lyd.org/opinion/2024/08/expropiaciones-y-justo-precio/
13 agosto 2024,¿La oposición claudica en su defensa del 6% de ahorro individual?,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/08/la-oposicion-claudica-en-su-defensa-del-6-de-ahorro-individual/
12 agosto 2024,Boric y el PC: su villano favorito,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/08/boric-y-el-pc-su-villano-favorito/
8 agosto 2024,María Corina Machado y Edmundo González: Culpables por ganar la elección,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/08/maria-corina-machado-y-edmundo-gonzalez-culpables-por-ganar-la-eleccion/
8 agosto 2024,María Corina Machado y Edmundo González: Culpables por ganar la elección,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/08/maria-corina-machado-y-edmundo-gonzalez-culpables-por-ganar-la-eleccion/
5 agosto 2024,El silencio cómplice de Jeannette Jara,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/08/el-silencio-complice-de-jeannette-jara/
5 agosto 2024,Voto en dos días: no se juega con las reglas,Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/08/voto-en-dos-dias-no-se-juega-con-las-reglas/
3 agosto 2024,VENEZUELA: SE LE ACABÓ EL TIEMPO PRESIDENTE BORIC,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/08/venezuela-se-le-acabo-el-tiempo-presidente-boric/
1 agosto 2024,Pensiones: verdades incómodas,Pablo Eguiguren,No encontrado,https://lyd.org/opinion/2024/08/pensiones-verdades-incomodas/
29 julio 2024,La Moneda: a sangre fría con nuestra democracia,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/07/la-moneda-a-sangre-fria-con-nuestra-democracia/
28 julio 2024,Empleo: seguimos y… ¿seguiremos cojeando?,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/07/empleo-seguimos-y-seguiremos-cojeando/
25 julio 2024,Una nueva etapa para la UDI,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/07/una-nueva-etapa-para-la-udi/
25 julio 2024,¿Excesivo retorno?,Ingrid Jones,Diario Financiero,https://lyd.org/opinion/2024/07/excesivo-retorno/
23 julio 2024,El aporte al debate de las comisiones de expertos,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/07/el-aporte-al-debate-de-las-comisiones-de-expertos/
22 julio 2024,Convivencia escolar: la misma fórmula fracasada,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/07/convivencia-escolar-la-misma-formula-fracasada/
21 julio 2024,Camila Vallejo y la piromanía política,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/07/camila-vallejo-y-la-piromania-politica/
20 julio 2024,Crimen Organizado: la hora de las RUF,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/07/crimen-organizado-la-hora-de-las-ruf/
20 julio 2024,Crimen Organizado: la hora de las RUF,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/07/crimen-organizado-la-hora-de-las-ruf/
19 julio 2024,Mesa (en apariencia) técnica,Macarena García,La Tercera,https://lyd.org/opinion/2024/07/mesa-en-apariencia-tecnica/
17 julio 2024,"Empleo joven, ¿quién se hace cargo?",Esteban Ávila,La Tercera,https://lyd.org/opinion/2024/07/empleo-joven-quien-se-hace-cargo/
13 julio 2024,Evolución del empleo público en Chile,Soledad Monge,No encontrado,https://lyd.org/opinion/2024/07/evolucion-del-empleo-publico-en-chile-2/
11 julio 2024,449 días esperando,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/07/449-dias-esperando/
11 julio 2024,La medida francesa y la derecha chilena,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/07/la-medida-francesa-y-la-derecha-chilena/
9 julio 2024,Matriz energética y precios,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/07/matriz-energetica-y-precios/
8 julio 2024,Análisis económico: del mito al logos (II),Macarena García,La Tercera,https://lyd.org/opinion/2024/07/analisis-economico-del-mito-al-logos-ii/
6 julio 2024,Miren a Francia,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/07/miren-a-francia/
1 julio 2024,Los argumentos detrás del debate sobre el secreto bancario,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/07/los-argumentos-detras-del-debate-sobre-el-secreto-bancario/
30 junio 2024,Pensiones: presionar para votar ¿qué?,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/06/pensiones-presionar-para-votar-que/
28 junio 2024,Por qué y para qué las humanidades,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/06/por-que-y-para-que-las-humanidades/
1 julio 2024,Los argumentos detrás del debate sobre el secreto bancario,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/07/los-argumentos-detras-del-debate-sobre-el-secreto-bancario/
1 julio 2024,Los argumentos detrás del debate sobre el secreto bancario,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/07/los-argumentos-detras-del-debate-sobre-el-secreto-bancario/
30 junio 2024,Pensiones: presionar para votar ¿qué?,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/06/pensiones-presionar-para-votar-que/
28 junio 2024,Por qué y para qué las humanidades,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/06/por-que-y-para-que-las-humanidades/
27 junio 2024,¿Qué no estamos viendo?,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/06/que-no-estamos-viendo/
25 junio 2024,La cruel demografía y el proyecto de pensiones,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/06/la-cruel-demografia-y-el-proyecto-de-pensiones/
24 junio 2024,Los riesgosos nuevos cambios a la Superintendencia,Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/06/los-riesgosos-nuevos-cambios-a-la-superintendencia/
24 junio 2024,Cambio estructural en la trayectoria de la inversión,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/06/cambio-estructural-en-la-trayectoria-de-la-inversion/
23 junio 2024,Los intocables: reflexiones sobre el caso del embajador Velasco,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/06/los-intocables-reflexiones-sobre-el-caso-del-embajador-velasco/
22 junio 2024,"¿Reforma de Pensiones, para qué?",Luis Larraín,La Tercera,https://lyd.org/opinion/2024/06/reforma-de-pensiones-para-que/
21 junio 2024,Inclusión laboral: ¿es la cuota el mejor mecanismo?,Esteban Ávila,La Tercera,https://lyd.org/opinion/2024/06/inclusion-laboral-es-la-cuota-el-mejor-mecanismo/
17 junio 2024,Réquiem por sus sueños: el silencioso cataclismo de la drogadicción adolescente.,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/06/requiem-por-sus-suenos-el-silencioso-cataclismo-de-la-drogadiccion-adolescente/
16 junio 2024,¿Un crecimiento mediocre debe ser lo normal para Chile?,Hernán Büchi,El Mercurio,https://lyd.org/opinion/2024/06/un-crecimiento-mediocre-debe-ser-lo-normal-para-chile/
14 junio 2024,Cómo convivir en un país fragmentado,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/06/como-convivir-en-un-pais-fragmentado/
14 junio 2024,Cómo convivir en un país fragmentado,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/06/como-convivir-en-un-pais-fragmentado/
13 junio 2024,Populismo tributario en energía,Juan Ignacio Gómez,El Mercurio,https://lyd.org/opinion/2024/06/populismo-tributario-en-energia/
13 junio 2024,La política post-primarias,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/06/la-politica-post-primarias/
11 junio 2024,Salvavidas de Cobre,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/06/salvavidas-de-cobre/
10 junio 2024,EDUCACIÓN: LA OTRA DEUDA,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/06/educacion-la-otra-deuda/
9 junio 2024,El aborto como batalla política: Chile y Estados Unidos,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/06/el-aborto-como-batalla-politica-chile-y-estados-unidos/
8 junio 2024,LOS FANTASMAS DE LA CUENTA,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/06/los-fantasmas-de-la-cuenta/
3 junio 2024,Cuenta Pública: montaje presidencial,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/06/cuenta-publica-montaje-presidencial/
2 junio 2024,¿Quién le pone el cascabel al gato?,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/06/quien-le-pone-el-cascabel-al-gato/
30 mayo 2024,Un precio que vale la pena pagar,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/05/para-que-nunca-mas-en-chile/
30 mayo 2024,Cuenta Pública o cuentos para su público,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/05/cuenta-publica-o-cuentos-para-su-publico/
29 mayo 2024,Indemnización por años de servicio: hora de un cambio,Esteban Ávila,Diario Financiero,https://lyd.org/opinion/2024/05/indemnizacion-por-anos-de-servicio-hora-de-un-cambio/
20 mayo 2024,¿Por qué los inmigrantes aman a Kast?,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/05/por-que-los-inmigrantes-aman-a-kast/
20 mayo 2024,¿Por qué los inmigrantes aman a Kast?,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/05/por-que-los-inmigrantes-aman-a-kast/
17 mayo 2024,Campamento de privilegios,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/05/campamento-de-privilegios/
17 mayo 2024,Liberalismo conservador,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/05/liberalismo-conservador/
16 mayo 2024,Las lecciones de la Ley Corta,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/05/las-lecciones-de-la-ley-corta/
14 mayo 2024,Oxígeno para la salud privada,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/05/oxigeno-para-la-salud-privada/
13 mayo 2024,"NUEVA LEY DE PERMISOS, ¿Y LA GESTIÓN CUÁNDO?",Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/05/nueva-ley-de-permisos-y-la-gestion-cuando/
11 mayo 2024,La banalidad del perro matapacos,Luis Larraín,No encontrado,https://lyd.org/opinion/2024/05/la-banalidad-del-perro-matapacos/
9 mayo 2024,Reactivación educativa,María Paz Arzola,El Mercurio,https://lyd.org/opinion/2024/05/reactivacion-educativa/
6 mayo 2024,"Boric, camino a tierra de nadie",Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/05/boric-camino-a-tierra-de-nadie/
6 mayo 2024,Reforma de pensiones: mitos y leyendas,Ingrid Jones,Diario Financiero,https://lyd.org/opinion/2024/05/reforma-de-pensiones-mitos-y-leyendas/
5 mayo 2024,Baile de Máscaras y la ADP,Bettina Horst,No encontrado,https://lyd.org/opinion/2024/05/baile-de-mascaras-y-la-adp/
3 mayo 2024,Plan de Reconstrucción: al debe con miles de familias,Paulina Henoch,La Segunda,https://lyd.org/opinion/2024/05/plan-de-reconstruccion-al-debe-con-miles-de-familias/
3 mayo 2024,Plan de Reconstrucción: al debe con miles de familias,Paulina Henoch,La Segunda,https://lyd.org/opinion/2024/05/plan-de-reconstruccion-al-debe-con-miles-de-familias/
3 mayo 2024,Plan de Reconstrucción: al debe con miles de familias,Paulina Henoch,La Segunda,https://lyd.org/opinion/2024/05/plan-de-reconstruccion-al-debe-con-miles-de-familias/
3 mayo 2024,El centro y las derechas unidas…,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/05/el-centro-y-las-derechas-unidas/
2 mayo 2024,Asesinatos de Carabineros: Fin a la Hipocresía,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/05/asesinatos-de-carabineros-fin-a-la-hipocresia/
30 abril 2024,Por qué los empresarios no aman a Boric,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/04/por-que-los-empresarios-no-aman-a-boric/
29 abril 2024,Sin lugar para los débiles…la clave moral de la próxima elección presidencial,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/04/sin-lugar-para-los-debilesla-clave-moral-de-la-proxima-eleccion-presidencial/
29 abril 2024,Peligroso precedente para elección escolar,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/04/peligroso-precedente-para-eleccion-escolar/
27 abril 2024,La Derecha insumisa,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/04/la-derecha-insumisa/
26 abril 2024,Doble discurso,María Trinidad Schleyer,La Tercera,https://lyd.org/opinion/2024/04/doble-discurso/
26 abril 2024,Limitaciones en el sector vivienda,Paulina Henoch,No encontrado,https://lyd.org/opinion/2024/04/limitaciones-en-el-sector-vivienda/
23 abril 2024,"Pensiones, mentiras y un video",Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/04/pensiones-mentiras-y-un-video/
21 abril 2024,Acordar con el Gobierno: ¿cuándo y para qué?,Hernán Büchi,No encontrado,https://lyd.org/opinion/2024/04/acordar-con-el-gobierno-cuando-y-para-que/
19 abril 2024,¿Soñando despiertos?,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/04/sonando-despiertos/
21 abril 2024,Acordar con el Gobierno: ¿cuándo y para qué?,Hernán Büchi,El Mercurio,https://lyd.org/opinion/2024/04/acordar-con-el-gobierno-cuando-y-para-que/
21 abril 2024,Acordar con el Gobierno: ¿cuándo y para qué?,Hernán Büchi,No encontrado,https://lyd.org/opinion/2024/04/acordar-con-el-gobierno-cuando-y-para-que/
19 abril 2024,¿Soñando despiertos?,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/04/sonando-despiertos/
18 abril 2024,Chilezuela: ¿ahora sí?,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/04/chilezuela-ahora-si/
15 abril 2024,#NiUnoMenos: el compromiso político con la protección de Carabineros,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/04/niunomenos-el-compromiso-politico-con-la-proteccion-de-carabineros/
15 abril 2024,La evidencia y el queso,Macarena García,La Tercera,https://lyd.org/opinion/2024/04/la-evidencia-y-el-queso/
13 abril 2024,El que tiene mantiene,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/04/el-que-tiene-mantiene/
11 abril 2024,Mantener el ímpetu con la agenda de seguridad,Fiorella Romanini,La Tercera,https://lyd.org/opinion/2024/04/mantener-el-impetu-con-la-agenda-de-seguridad/
11 abril 2024,Camino a un ineficiente Transantiago previsional,Tomás Flores,El Diario Financiero,https://lyd.org/opinion/2024/04/camino-a-un-ineficiente-transantiago-previsional/
9 abril 2024,Economía chilena e innovación energética,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/04/economia-chilena-e-innovacion-energetica/
8 abril 2024,880: la cifra de los que sobran,Jorge Ramírez,No encontrado,https://lyd.org/opinion/2024/04/880-la-cifra-de-los-que-sobran/
7 abril 2024,La hora de la oposición,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/04/la-hora-de-la-oposicion/
5 abril 2024,Izquierdas y derechas,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/04/izquierdas-y-derechas/
5 abril 2024,PROYECTO SOBRE INCLUSIÓN LABORAL: ÚLTIMA OPORTUNIDAD PARA CORREGIR,Esteban Ávila,Diario Finacniero,https://lyd.org/opinion/2024/04/proyecto-sobre-inclusion-laboral-ultima-oportunidad-para-corregir-2/
5 abril 2024,PROYECTO SOBRE INCLUSIÓN LABORAL: ÚLTIMA OPORTUNIDAD PARA CORREGIR,Esteban Ávila,Diario Finacniero,https://lyd.org/opinion/2024/04/proyecto-sobre-inclusion-laboral-ultima-oportunidad-para-corregir-2/
4 abril 2024,POBRE MOYA,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/04/pobre-moya/
4 abril 2024,¿Hacia un estallido social?,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/04/hacia-un-estallido-social/
1 abril 2024,¿QUIÉN DEBIERA NOMBRAR A LOS JUECES?,Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/04/quien-debiera-nombrar-a-los-jueces/
1 abril 2024,¿Mayorí­a polí­tica o mayorí­a social?,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/04/mayoria-politica-o-mayoria-social/
26 marzo 2024,El séptimo retiro y el autopréstamo,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/03/el-septimo-retiro-y-el-autoprestamo/
25 marzo 2024,"El futuro del Gobierno post sorpasso senatorial: ¿crisis, elección y cambio?",Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/03/el-futuro-del-gobierno-post-sorpasso-senatorial-crisis-eleccion-y-cambio/
25 marzo 2024,Caminos para la centroderecha,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/03/caminos-para-la-centroderecha/
24 marzo 2024,En política lo que importa es a quién se culpa de los problemas,Hernán Büchi,El Mercurio,https://lyd.org/opinion/2024/03/en-politica-lo-que-importa-es-a-quien-se-culpa-de-los-problemas/
22 marzo 2024,"Democracia, simpatía y compasión",Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/03/democracia-simpatia-y-compasion/
22 marzo 2024,Fallo por mutualización,Pablo Eguiguren,El Mercurio,https://lyd.org/opinion/2024/03/fallo-por-mutualizacion/
21 marzo 2024,Una nueva mayoría,Luis Larraín,El Líbero,https://lyd.org/opinion/2024/03/una-nueva-mayoria/
18 marzo 2024,Socialismo Democrático: cómplices activos.,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/03/socialismo-democratico-complices-activos/
18 marzo 2024,Socialismo Democrático: cómplices activos.,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/03/socialismo-democratico-complices-activos/
18 marzo 2024,Cautela frente a los resultados del Simce,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/03/cautela-frente-a-los-resultados-del-simce/
16 marzo 2024,¿Militares en las calles?,Luis Larraín,No encontrado,https://lyd.org/opinion/2024/03/militares-en-las-calles/
14 marzo 2024,El Estado y los territorios,Luis Larraín,Diario Financiero,https://lyd.org/opinion/2024/03/el-estado-y-los-territorios/
13 marzo 2024,El otro retiro,Pablo Eguiguren,La Segunda,https://lyd.org/opinion/2024/03/el-otro-retiro/
13 marzo 2024,Ley corta de Isapres,María Trinidad Schleyer,La Tercera,https://lyd.org/opinion/2024/03/ley-corta-de-isapres-2/
12 marzo 2024,Impuestos por secretaría,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/03/impuestos-por-secretaria/
12 marzo 2024,La reforma olvidada,Francisco Alcorta,El Mercurio,https://lyd.org/opinion/2024/03/la-reforma-olvidada/
11 marzo 2024,Boric ¿jubilado a los 40? El debate sobre la dieta a los ex presidentes,Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/03/boric-jubilado-a-los-40-el-debate-sobre-la-dieta-a-los-ex-presidentes/
10 marzo 2024,El caballo era el envoltorio,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/03/el-caballo-era-el-envoltorio/
8 marzo 2024,Derechos de la mujer y feminismo,Lucía Santa Cruz,El Mercurio,https://lyd.org/opinion/2024/03/derechos-de-la-mujer-y-feminismo-2/
7 marzo 2024,"Secuestro y asesinato internacional, vergüenza nacional",Luis Larraín,El Líbero,https://lyd.org/opinion/2024/03/secuestro-y-asesinato-internacional-verguenza-nacional/
4 marzo 2024,Gatopardo fiscal,Macarena García,La Tercera,https://lyd.org/opinion/2024/03/gatopardo-fiscal/
4 marzo 2024,Gatopardo fiscal,Macarena García,La Tercera,https://lyd.org/opinion/2024/03/gatopardo-fiscal/
2 marzo 2024,No es normal,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/03/no-es-normal/
1 marzo 2024,Responsabilidad parlamentaria,Pablo Eguiguren,El Mercurio,https://lyd.org/opinion/2024/03/responsabilidad-parlamentaria/
29 febrero 2024,Reposición de la selección académica,María Paz Arzola,La Tercera,https://lyd.org/opinion/2024/02/reposicion-de-la-seleccion-academica/
27 febrero 2024,Voto político a proyectos de inversión,Tomás Flores,Diario Financiero,https://lyd.org/opinion/2024/02/voto-politico-a-proyectos-de-inversion/
26 febrero 2024,"Las claves de la conferencia conservadora más grande del mundo que reunió a Milei, Trump y Bukele",Jorge Ramírez,Ex-Ante,https://lyd.org/opinion/2024/02/las-claves-de-la-conferencia-conservadora-mas-grande-del-mundo-que-reunio-a-milei-trump-y-bukele/
19 febrero 2024,REFORMA A LA INSTITUCIONALIDAD AMBIENTAL: LO QUE NO SE HA DICHO,Pilar Hazbun,La Tercera,https://lyd.org/opinion/2024/02/reforma-a-la-institucionalidad-ambiental-lo-que-no-se-ha-dicho/
17 febrero 2024,Sebastián Piñera: un legado que crece,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/02/sebastian-pinera-un-legado-que-crece/
11 febrero 2024,Gatillos y ruleta rusa fiscal,Bettina Horst,El Mercurio,https://lyd.org/opinion/2024/02/gatillos-y-ruleta-rusa-fiscal/
5 febrero 2024,NO REPETIR LOS ERRORES DE LA REFORMA EDUCACIONAL,María Paz Arzola,No encontrado,https://lyd.org/opinion/2024/02/no-repetir-los-errores-de-la-reforma-educacional/
3 febrero 2024,EL SEGUNDO TIEMPO DE BORIC,Luis Larraín,La Tercera,https://lyd.org/opinion/2024/02/el-segundo-tiempo-de-boric/
